dt,portfolio_id,nav
2018-04-01,a000Y000019ZliRQAS,97790.59
2018-03-31,a000Y000019ZliRQAS,97790.59
2018-03-30,a000Y000019ZliRQAS,97865.4
2018-03-29,a000Y000019ZliRQAS,97777.66
2018-03-28,a000Y000019ZliRQAS,96525.03
2018-03-27,a000Y000019ZliRQAS,96819.93
2018-03-26,a000Y000019ZliRQAS,96832.44
2018-03-25,a000Y000019ZliRQAS,96269.22
2018-03-24,a000Y000019ZliRQAS,96269.22
2018-03-23,a000Y000019ZliRQAS,96428.6
2018-03-22,a000Y000019ZliRQAS,97776.95
2018-03-21,a000Y000019ZliRQAS,99520.09
2018-03-20,a000Y000019ZliRQAS,99226.04
2018-03-19,a000Y000019ZliRQAS,99209.66
2018-03-18,a000Y000019ZliRQAS,100297.09
2018-03-17,a000Y000019ZliRQAS,100297.09
2018-03-16,a000Y000019ZliRQAS,100200.87
2018-03-15,a000Y000019ZliRQAS,99812.15
2018-03-14,a000Y000019ZliRQAS,99574.73
2018-03-13,a000Y000019ZliRQAS,100125.25
2018-03-12,a000Y000019ZliRQAS,100520.8
2018-03-11,a000Y000019ZliRQAS,100524.83
2018-03-10,a000Y000019ZliRQAS,100524.83
2018-03-09,a000Y000019ZliRQAS,100547.96
2018-03-08,a000Y000019ZliRQAS,99259.95
2018-03-07,a000Y000019ZliRQAS,98843.15
2018-03-06,a000Y000019ZliRQAS,99347.02
2018-03-05,a000Y000019ZliRQAS,98994.19
2018-03-04,a000Y000019ZliRQAS,98265.0
2018-03-03,a000Y000019ZliRQAS,98265.0
2018-03-02,a000Y000019ZliRQAS,98447.34
2018-03-01,a000Y000019ZliRQAS,99562.66
2018-02-28,a000Y000019ZliRQAS,100522.17
2018-02-27,a000Y000019ZliRQAS,100895.68
2018-02-26,a000Y000019ZliRQAS,101332.27
2018-02-25,a000Y000019ZliRQAS,100584.3
2018-02-24,a000Y000019ZliRQAS,100584.3
2018-02-23,a000Y000019ZliRQAS,100432.41
2018-02-22,a000Y000019ZliRQAS,100065.73
2018-02-21,a000Y000019ZliRQAS,100113.17
2018-02-20,a000Y000019ZliRQAS,99720.33
2018-02-19,a000Y000019ZliRQAS,99845.3
2018-02-18,a000Y000019ZliRQAS,99867.13
2018-02-17,a000Y000019ZliRQAS,99867.13
2018-02-16,a000Y000019ZliRQAS,99440.91
2018-02-15,a000Y000019ZliRQAS,98934.38
2018-02-14,a000Y000019ZliRQAS,98521.42
2018-02-13,a000Y000019ZliRQAS,98171.37
2018-02-12,a000Y000019ZliRQAS,98704.14
2018-02-11,a000Y000019ZliRQAS,97087.06
2018-02-10,a000Y000019ZliRQAS,97087.06
2018-02-09,a000Y000019ZliRQAS,97051.3
2018-02-08,a000Y000019ZliRQAS,98321.28
2018-02-07,a000Y000019ZliRQAS,99325.59
2018-02-06,a000Y000019ZliRQAS,98222.3
2018-02-05,a000Y000019ZliRQAS,99524.7
2018-02-04,a000Y000019ZliRQAS,101135.06
2018-02-03,a000Y000019ZliRQAS,101135.06
2018-02-02,a000Y000019ZliRQAS,100980.89
2018-02-01,a000Y000019ZliRQAS,102614.69
